Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Task,DEIPCNBS20-1183,1477782,[MI200]compliance case review according to latest version,MI200,antli,27/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1182,1477779,[MI200]compliance case review according to latest version,MI200,belchen,27/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1176,1473348,[MI200]PRS / MAS review DMA part,MI200,alxie,20/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1175,1473341,[MI200]confirm if PRS / MAS review DMA part,MI200,buhengxu,20/Dec/19 12:00 AM,,,,Implemented,benpeng
Defect,DEIPCNBS20-1173,1473218,[Mi200] the egress port haven't been stalled when the SRAM ECC triggered ras stall,MI200,wenyanxu,20/Dec/19 12:00 AM,,,,Closed,jianw
Defect,DEIPCNBS20-1172,1473205,[MI200] new mpx client mpio and mpio_dram interface information confirm,MI200,buhengxu,,,,,Opened,shiyan
Task,DEIPCNBS20-1163,1472606,[MI200]GMI timing enhancement,MI200,trgong,13/Dec/19 12:00 AM,,,,Opened,benpeng
Defect,DEIPCNBS20-1162,1472589,NBIF predicts different for MSGD trans from PCIe to ATHUB.,MI200,suvasude,,MI200_NBIO_SS,,,Opened,suvasude
Task,DEIPCNBS20-1161,1472557,[MI200]ECC SRAM need add stall logic,MI200,wenyanxu,13/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1160,1472555,[MI200]RSMU Json file review,MI200,bintaoli,06/Dec/19 12:00 AM,,,,Closed,benpeng
Task,DEIPCNBS20-1159,1472554,[MI200]confirm what to do about SMN json file review.,MI200,tingxie2,06/Dec/19 12:00 AM,,,,Opened,benpeng
Enhancement,DEIPCNBS20-1158,1472506,[MI200][HOST][HDP] NBIF_SHUB can't transfer requests to HDP client back to back,MI200,tingxie2,,,,,Opened,jawan
Task,DEIPCNBS20-1157,1472457,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,tingxie2,13/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1156,1472456,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,siluo,13/Dec/19 12:00 AM,,,,Rejected,benpeng
Task,DEIPCNBS20-1155,1472454,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,benpeng,13/Dec/19 12:00 AM,,,,Implemented,benpeng
Task,DEIPCNBS20-1154,1472451,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,geochen,13/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1153,1472450,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,alzhu,13/Dec/19 12:00 AM,,,,Implemented,benpeng
Task,DEIPCNBS20-1152,1472449,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,buhengxu,13/Dec/19 12:00 AM,,,,Implemented,benpeng
Task,DEIPCNBS20-1151,1472447,[MI200]nbif MI200 feature implementation/verification review -- RAS/Gen5,MI200,wenyanxu,13/Dec/19 12:00 AM,,,,Opened,benpeng
